-23° -33' -39.6235''	-51° -39' -42.9529''
-23° -33' -40.2772''	-51° -39' -41.3768''
-23° -33' -40.8632''	-51° -39' -39.7143''
-23° -33' -41.9002''	-51° -39' -38.4825''
-23° -33' -43.4759''	-51° -39' -38.7936''
-23° -33' -44.1667''	-51° -39' -40.3447''
-23° -33' -43.5174''	-51° -39' -42.0248''
-23° -33' -41.9753''	-51° -39' -42.8478''
-23° -33' -40.5896''	-51° -39' -43.6524''
-23° -33' -39.4942''	-51° -39' -44.7984''
-23° -33' -37.9257''	-51° -39' -45.4759''
-23° -33' -36.4311''	-51° -39' -46.0235''
-23° -33' -35.0217''	-51° -39' -46.6124''
-23° -33' -33.6236''	-51° -39' -47.1971''
-23° -33' -32.2068''	-51° -39' -47.8197''
-23° -33' -30.7752''	-51° -39' -48.5315''
-23° -33' -29.1996''	-51° -39' -49.3042''
-23° -33' -27.7977''	-51° -39' -49.9817''
-23° -33' -26.3451''	-51° -39' -50.6408''
-23° -33' -24.7757''	-51° -39' -51.4469''
-23° -33' -23.4015''	-51° -39' -52.1029''
-23° -33' -21.8603''	-51° -39' -52.7680''
-23° -33' -20.4220''	-51° -39' -53.4189''
-23° -33' -18.8851''	-51° -39' -54.1032''
-23° -33' -17.2708''	-51° -39' -54.8831''
-23° -33' -15.9611''	-51° -39' -55.5945''
-23° -33' -14.5208''	-51° -39' -56.3343''
-23° -33' -12.9727''	-51° -39' -57.0165''
-23° -33' -11.5410''	-51° -39' -57.5777''
-23° -33' -10.0307''	-51° -39' -58.1922''
-23° -33' -8.4670''	-51° -39' -58.8438''
-23° -33' -6.9502''	-51° -39' -59.5082''
-23° -33' -5.3136''	-51° -40' -0.1951''
-23° -33' -3.7178''	-51° -40' -0.8842''
-23° -33' -2.3089''	-51° -40' -1.4627''
-23° -33' -0.9098''	-51° -40' -2.0320''
-23° -32' -59.6750''	-51° -40' -3.1141''
-23° -32' -59.1905''	-51° -40' -4.7324''
-23° -32' -59.4645''	-51° -40' -6.4124''
-23° -32' -59.8083''	-51° -40' -8.2129''
-23° -32' -59.8226''	-51° -40' -9.8382''
-23° -32' -59.7003''	-51° -40' -11.6047''
-23° -32' -59.4731''	-51° -40' -13.4288''
-23° -32' -59.2672''	-51° -40' -15.0894''
-23° -32' -59.0396''	-51° -40' -16.9902''
-23° -32' -58.8734''	-51° -40' -18.5428''
-23° -32' -58.6345''	-51° -40' -20.3440''
-23° -32' -58.4259''	-51° -40' -22.0487''
-23° -32' -58.2763''	-51° -40' -23.6114''
-23° -32' -58.1249''	-51° -40' -25.2582''
-23° -32' -57.9524''	-51° -40' -27.0345''
-23° -32' -57.7468''	-51° -40' -28.8418''
-23° -32' -57.5906''	-51° -40' -30.5767''
-23° -32' -57.4015''	-51° -40' -32.2341''
-23° -32' -57.2139''	-51° -40' -33.9299''
-23° -32' -57.0591''	-51° -40' -35.5860''
-23° -32' -56.8178''	-51° -40' -37.7492''
-23° -32' -56.6723''	-51° -40' -39.0817''
-23° -32' -56.4861''	-51° -40' -40.8194''
-23° -32' -56.3230''	-51° -40' -42.5213''
-23° -32' -56.1458''	-51° -40' -44.3454''
-23° -32' -55.9265''	-51° -40' -46.0918''
-23° -32' -55.6885''	-51° -40' -47.8083''
-23° -32' -55.4821''	-51° -40' -49.7214''
-23° -32' -55.2871''	-51° -40' -51.2930''
-23° -32' -55.1092''	-51° -40' -52.9867''
-23° -32' -54.9398''	-51° -40' -54.6952''
-23° -32' -54.7558''	-51° -40' -56.3465''
-23° -32' -54.6345''	-51° -40' -58.0098''
-23° -32' -54.4996''	-51° -40' -59.7614''
-23° -32' -54.3836''	-51° -41' -1.5053''
-23° -32' -54.2473''	-51° -41' -3.2589''
-23° -32' -54.0678''	-51° -41' -5.0133''
-23° -32' -53.8720''	-51° -41' -6.7309''
-23° -32' -53.6717''	-51° -41' -8.5531''
-23° -32' -53.4947''	-51° -41' -10.3218''
-23° -32' -53.3227''	-51° -41' -12.1264''
-23° -32' -53.1561''	-51° -41' -13.8763''
-23° -32' -52.9996''	-51° -41' -15.6114''
-23° -32' -52.8096''	-51° -41' -17.2788''
-23° -32' -52.5822''	-51° -41' -19.0196''
-23° -32' -52.4046''	-51° -41' -20.7967''
-23° -32' -52.0503''	-51° -41' -22.4526''
-23° -32' -51.5723''	-51° -41' -24.1275''
-23° -32' -51.1643''	-51° -41' -25.6597''
-23° -32' -50.7466''	-51° -41' -27.3745''
-23° -32' -50.3624''	-51° -41' -29.0908''
-23° -32' -49.9802''	-51° -41' -30.7263''
-23° -32' -49.6365''	-51° -41' -32.4981''
-23° -32' -49.2246''	-51° -41' -34.0812''
-23° -32' -48.4946''	-51° -41' -35.8084''
-23° -32' -47.4300''	-51° -41' -37.6574''
-23° -32' -46.7996''	-51° -41' -38.7834''
-23° -32' -45.9555''	-51° -41' -40.3384''
-23° -32' -45.1001''	-51° -41' -41.9647''
-23° -32' -44.3884''	-51° -41' -43.4641''
-23° -32' -43.6286''	-51° -41' -45.0948''
-23° -32' -42.8475''	-51° -41' -46.5910''
-23° -32' -42.0002''	-51° -41' -48.1545''
-23° -32' -41.2235''	-51° -41' -49.7110''
-23° -32' -40.4223''	-51° -41' -51.3979''
-23° -32' -39.7572''	-51° -41' -52.7568''
-23° -32' -38.9393''	-51° -41' -54.2260''
-23° -32' -37.9023''	-51° -41' -55.4794''
-23° -32' -36.8350''	-51° -41' -56.7092''
-23° -32' -35.8062''	-51° -41' -57.9544''
-23° -32' -34.7513''	-51° -41' -59.3452''
-23° -32' -33.7587''	-51° -42' -0.6358''
-23° -32' -32.6859''	-51° -42' -1.9893''
-23° -32' -31.6723''	-51° -42' -3.2603''
-23° -32' -30.6150''	-51° -42' -4.5840''
-23° -32' -29.6037''	-51° -42' -5.8576''
-23° -32' -28.6219''	-51° -42' -7.1646''
-23° -32' -27.7002''	-51° -42' -8.4508''
-23° -32' -26.6410''	-51° -42' -9.8770''
-23° -32' -25.6347''	-51° -42' -11.2472''
-23° -32' -24.5725''	-51° -42' -12.7112''
-23° -32' -23.5900''	-51° -42' -14.0676''
-23° -32' -22.4631''	-51° -42' -15.5761''
-23° -32' -21.5619''	-51° -42' -16.7881''
-23° -32' -20.5666''	-51° -42' -18.1517''
-23° -32' -19.5514''	-51° -42' -19.5476''
-23° -32' -18.5655''	-51° -42' -20.8208''
-23° -32' -17.4769''	-51° -42' -22.2454''
-23° -32' -16.6028''	-51° -42' -23.5017''
-23° -32' -15.6462''	-51° -42' -24.8657''
-23° -32' -14.5374''	-51° -42' -26.2851''
-23° -32' -13.4997''	-51° -42' -27.6671''
-23° -32' -12.5059''	-51° -42' -29.0091''
-23° -32' -11.5814''	-51° -42' -30.2500''
-23° -32' -10.5615''	-51° -42' -31.7090''
-23° -32' -9.7756''	-51° -42' -33.2096''
-23° -32' -8.9166''	-51° -42' -34.8805''
-23° -32' -8.1356''	-51° -42' -36.3398''
-23° -32' -7.3484''	-51° -42' -37.7871''
-23° -32' -6.6037''	-51° -42' -39.2268''
-23° -32' -5.8444''	-51° -42' -40.7271''
-23° -32' -5.1128''	-51° -42' -42.1261''
-23° -32' -4.3740''	-51° -42' -43.6384''
-23° -32' -3.6277''	-51° -42' -45.1560''
-23° -32' -2.8434''	-51° -42' -46.6314''
-23° -32' -2.0458''	-51° -42' -48.1163''
-23° -32' -1.1930''	-51° -42' -49.7128''
-23° -32' -0.3946''	-51° -42' -51.1997''
-23° -31' -59.6072''	-51° -42' -52.7050''
-23° -31' -58.8380''	-51° -42' -54.2286''
-23° -31' -58.1379''	-51° -42' -55.6199''
-23° -31' -57.3322''	-51° -42' -57.1301''
-23° -31' -56.4392''	-51° -42' -58.7122''
-23° -31' -55.6150''	-51° -43' -0.1996''
-23° -31' -54.8547''	-51° -43' -1.6229''
-23° -31' -54.0089''	-51° -43' -3.2575''
-23° -31' -53.0473''	-51° -43' -4.6293''
-23° -31' -51.6917''	-51° -43' -5.6247''
-23° -31' -50.3639''	-51° -43' -6.5166''
-23° -31' -49.0720''	-51° -43' -7.4232''
-23° -31' -47.7617''	-51° -43' -8.3801''
-23° -31' -46.4258''	-51° -43' -9.1099''
-23° -31' -44.6198''	-51° -43' -9.3677''
-23° -31' -43.1987''	-51° -43' -9.4773''
-23° -31' -41.6731''	-51° -43' -9.6450''
-23° -31' -40.0768''	-51° -43' -9.9135''
-23° -31' -38.4746''	-51° -43' -10.1825''
-23° -31' -36.9958''	-51° -43' -10.4174''
